date;type;m0;t;m1;protocol
15.10.25;e;163;13;322;normal
17.10.25;s;200;9;445;normal
21.10.25;e;168;13;330;normal
24.10.25;s;200;9;452;normal
26.10.25;s;150;9;328;normal
29.19.25;s;200;9;453;normal
01.11.25;e;141;13;279;normal
03.11.25;s;205;9;474;normal
05.11.25;e;181;13;357;normal
08.11.25;e;200;13;396;normal
11.11.25;s;210;9;464;normal
13.11.25;s;221;9;503;normal
18.11.25;s;215;9;486;normal
20.11.25;m;164;9;346;normal
23.11.25;s;189;9;426;normal
24.11.25;m;202;9;423;normal
29.11.25;e;150;13;291;time
